train_accuracy_0,test_accuracy_0,train_accuracy_1,test_accuracy_1,train_accuracy_2,test_accuracy_2,train_accuracy_3,test_accuracy_3,train_accuracy_4,test_accuracy_4,train_accuracy_5,test_accuracy_5,train_accuracy_6,test_accuracy_6,train_accuracy_7,test_accuracy_7,train_accuracy_8,test_accuracy_8,train_accuracy_9,test_accuracy_9
0.49499999999999994,0.51,0.48,0.5189999999999999,0.5033333333333333,0.516,0.4766666666666666,0.49400000000000005,0.5166666666666667,0.5069999999999999,0.5083333333333334,0.493,0.5116666666666667,0.49899999999999994,0.5166666666666667,0.475,0.5066666666666667,0.5040000000000001,0.5516666666666666,0.5
0.6749999999999999,0.5109999999999999,0.6783333333333333,0.513,0.6683333333333333,0.522,0.6733333333333333,0.49000000000000005,0.6783333333333333,0.49800000000000005,0.6783333333333333,0.476,0.68,0.492,0.6883333333333334,0.497,0.695,0.502,0.6883333333333334,0.518
0.77,0.505,0.77,0.505,0.79,0.536,0.7766666666666667,0.502,0.7883333333333334,0.508,0.7783333333333333,0.484,0.79,0.48200000000000004,0.7933333333333333,0.51,0.795,0.48100000000000004,0.7866666666666667,0.509
0.8333333333333334,0.513,0.8266666666666667,0.512,0.8483333333333333,0.521,0.8366666666666666,0.506,0.8583333333333333,0.509,0.8433333333333334,0.495,0.8399999999999999,0.48900000000000005,0.8533333333333334,0.506,0.8649999999999999,0.475,0.8516666666666666,0.5149999999999999
0.8766666666666666,0.5029999999999999,0.8683333333333333,0.52,0.9,0.527,0.8816666666666667,0.507,0.8933333333333334,0.504,0.8733333333333334,0.497,0.8850000000000001,0.5,0.875,0.504,0.8850000000000001,0.46900000000000003,0.8866666666666667,0.517
0.9116666666666667,0.4960000000000001,0.8983333333333334,0.52,0.9183333333333333,0.532,0.915,0.52,0.9083333333333333,0.5,0.8966666666666666,0.49799999999999994,0.91,0.507,0.9049999999999999,0.51,0.9100000000000001,0.461,0.9083333333333332,0.519
0.9283333333333333,0.49300000000000005,0.9266666666666667,0.509,0.9366666666666666,0.526,0.9316666666666666,0.522,0.9266666666666667,0.504,0.9133333333333334,0.502,0.9266666666666667,0.513,0.9266666666666667,0.513,0.9333333333333335,0.46699999999999997,0.9233333333333333,0.5149999999999999
0.94,0.49700000000000005,0.9366666666666666,0.5050000000000001,0.9433333333333334,0.533,0.94,0.524,0.9416666666666668,0.495,0.93,0.499,0.945,0.513,0.9383333333333334,0.508,0.9483333333333333,0.472,0.9366666666666665,0.522
0.9566666666666667,0.497,0.9466666666666667,0.512,0.9466666666666667,0.522,0.9633333333333333,0.515,0.9566666666666667,0.502,0.9416666666666665,0.497,0.9499999999999998,0.508,0.9499999999999998,0.5079999999999999,0.9583333333333334,0.46900000000000003,0.9466666666666667,0.524
0.9666666666666667,0.5,0.9500000000000001,0.504,0.9566666666666667,0.524,0.9783333333333334,0.518,0.9533333333333335,0.51,0.955,0.499,0.9633333333333334,0.508,0.9633333333333333,0.509,0.9633333333333334,0.46399999999999997,0.9516666666666665,0.508
0.9683333333333333,0.4920000000000001,0.9550000000000001,0.491,0.9683333333333333,0.5199999999999999,0.9816666666666666,0.514,0.9666666666666667,0.506,0.9566666666666667,0.493,0.9666666666666667,0.512,0.965,0.506,0.965,0.46900000000000003,0.9516666666666667,0.506
0.9733333333333333,0.49399999999999994,0.9666666666666667,0.4800000000000001,0.975,0.522,0.9833333333333333,0.517,0.9716666666666667,0.501,0.9666666666666667,0.4880000000000001,0.9700000000000001,0.5130000000000001,0.9716666666666667,0.506,0.9766666666666667,0.47400000000000003,0.965,0.507
0.9783333333333334,0.493,0.9716666666666667,0.49400000000000005,0.9833333333333334,0.529,0.9866666666666667,0.511,0.9766666666666666,0.506,0.9666666666666667,0.502,0.975,0.511,0.9766666666666666,0.504,0.9766666666666666,0.47800000000000004,0.9666666666666667,0.5090000000000001
0.9866666666666667,0.49000000000000005,0.9733333333333333,0.484,0.9883333333333333,0.525,0.9899999999999999,0.515,0.9783333333333332,0.5,0.975,0.506,0.9783333333333334,0.5050000000000001,0.98,0.502,0.98,0.47400000000000003,0.9716666666666667,0.509
0.985,0.491,0.9766666666666666,0.47700000000000004,0.9883333333333333,0.5189999999999999,0.9916666666666667,0.504,0.98,0.503,0.975,0.5130000000000001,0.98,0.506,0.9833333333333334,0.502,0.9783333333333334,0.475,0.98,0.515
0.9866666666666667,0.49399999999999994,0.98,0.476,0.9883333333333333,0.5199999999999999,0.9916666666666667,0.5,0.98,0.496,0.9783333333333332,0.51,0.98,0.507,0.9866666666666667,0.506,0.9783333333333334,0.4720000000000001,0.98,0.505
0.9883333333333333,0.502,0.98,0.47800000000000004,0.9899999999999999,0.518,0.9916666666666667,0.499,0.98,0.49499999999999994,0.9816666666666668,0.508,0.9833333333333334,0.49700000000000005,0.9866666666666667,0.49700000000000005,0.9783333333333334,0.471,0.98,0.507
0.9883333333333333,0.508,0.9833333333333333,0.47800000000000004,0.9899999999999999,0.519,0.9933333333333333,0.503,0.9766666666666666,0.4959999999999999,0.985,0.516,0.9866666666666667,0.49800000000000005,0.9883333333333333,0.5,0.9783333333333334,0.4720000000000001,0.9833333333333334,0.5090000000000001
0.9899999999999999,0.5129999999999999,0.9816666666666666,0.4699999999999999,0.9916666666666666,0.5149999999999999,0.9966666666666667,0.507,0.975,0.501,0.9883333333333333,0.517,0.9866666666666667,0.495,0.9900000000000001,0.49700000000000005,0.9816666666666668,0.48600000000000004,0.985,0.509
0.9899999999999999,0.514,0.985,0.476,0.9916666666666667,0.5160000000000001,0.9966666666666667,0.51,0.9766666666666667,0.502,0.9933333333333333,0.5149999999999999,0.9899999999999999,0.491,0.9933333333333333,0.496,0.9866666666666667,0.48699999999999993,0.9866666666666667,0.509
0.9916666666666667,0.515,0.985,0.47300000000000003,0.9933333333333333,0.515,0.995,0.51,0.9783333333333334,0.501,0.9933333333333333,0.5189999999999999,0.9899999999999999,0.496,0.995,0.49399999999999994,0.9883333333333333,0.483,0.9866666666666667,0.511
0.9916666666666667,0.509,0.9866666666666667,0.46699999999999997,0.9950000000000001,0.516,0.995,0.512,0.9783333333333334,0.503,0.9933333333333333,0.515,0.9899999999999999,0.5,0.9966666666666667,0.49800000000000005,0.9883333333333333,0.48100000000000004,0.9866666666666667,0.51
0.9900000000000001,0.51,0.9883333333333333,0.46399999999999997,0.9950000000000001,0.526,0.995,0.5080000000000001,0.98,0.5029999999999999,0.995,0.509,0.9899999999999999,0.499,0.9966666666666667,0.502,0.9883333333333333,0.4779999999999999,0.9866666666666667,0.501
0.9883333333333333,0.513,0.9883333333333333,0.46099999999999997,0.9933333333333333,0.5279999999999999,0.995,0.507,0.9883333333333333,0.499,0.9966666666666667,0.504,0.9933333333333333,0.488,0.9983333333333334,0.502,0.9883333333333333,0.476,0.9883333333333333,0.493
0.9916666666666666,0.5130000000000001,0.9899999999999999,0.466,0.9916666666666666,0.5169999999999999,0.995,0.49800000000000005,0.9933333333333333,0.499,0.9983333333333334,0.503,0.9933333333333333,0.491,0.9983333333333334,0.501,0.9883333333333333,0.475,0.9899999999999999,0.492
0.9916666666666666,0.508,0.9933333333333333,0.475,0.9916666666666666,0.517,0.995,0.499,0.9916666666666667,0.495,1.0,0.503,0.9950000000000001,0.493,0.9983333333333334,0.507,0.9900000000000001,0.47400000000000003,0.9899999999999999,0.4920000000000001
0.9916666666666666,0.5120000000000001,0.9933333333333333,0.476,0.9899999999999999,0.522,0.995,0.49400000000000005,0.9916666666666667,0.49499999999999994,1.0,0.502,0.9966666666666667,0.502,1.0,0.508,0.9916666666666667,0.4739999999999999,0.9899999999999999,0.491
0.9916666666666666,0.513,0.995,0.47800000000000004,0.9899999999999999,0.522,0.995,0.508,0.9916666666666667,0.49700000000000005,1.0,0.4960000000000001,0.9966666666666667,0.49499999999999994,0.9983333333333334,0.516,0.9916666666666667,0.47400000000000003,0.9916666666666667,0.48999999999999994
0.9916666666666666,0.5149999999999999,0.995,0.47700000000000004,0.9899999999999999,0.515,0.9966666666666667,0.506,0.9916666666666667,0.48999999999999994,1.0,0.4960000000000001,0.9966666666666667,0.49800000000000005,0.9983333333333334,0.517,0.9933333333333333,0.471,0.9933333333333333,0.492
0.9916666666666666,0.5159999999999999,0.995,0.481,0.9883333333333333,0.514,0.9983333333333334,0.502,0.9933333333333333,0.493,1.0,0.496,0.9966666666666667,0.502,0.9983333333333334,0.5189999999999999,0.9933333333333333,0.477,0.995,0.49399999999999994
0.9899999999999999,0.5149999999999999,0.9966666666666667,0.487,0.9883333333333333,0.511,0.9983333333333334,0.502,0.9933333333333333,0.491,1.0,0.501,0.9966666666666667,0.5039999999999999,0.9983333333333334,0.518,0.9933333333333333,0.477,0.995,0.5
0.9916666666666666,0.514,0.9966666666666667,0.48,0.9883333333333333,0.51,0.9966666666666667,0.5,0.9933333333333333,0.491,1.0,0.506,0.995,0.507,0.9983333333333334,0.518,0.9933333333333333,0.47400000000000003,0.995,0.506
0.9899999999999999,0.513,0.9966666666666667,0.47800000000000004,0.9883333333333333,0.5130000000000001,0.9983333333333334,0.503,0.995,0.483,1.0,0.509,0.995,0.515,0.9983333333333334,0.513,0.9933333333333333,0.479,0.995,0.509
0.9899999999999999,0.51,0.9966666666666667,0.477,0.9883333333333333,0.5069999999999999,0.9983333333333334,0.508,0.9933333333333333,0.487,1.0,0.503,0.995,0.5120000000000001,0.9983333333333334,0.5119999999999999,0.9933333333333333,0.479,0.995,0.508
0.9899999999999999,0.509,0.9966666666666667,0.47700000000000004,0.9883333333333333,0.506,0.9966666666666667,0.508,0.9933333333333333,0.493,1.0,0.5069999999999999,0.9966666666666667,0.512,0.9983333333333334,0.519,0.995,0.484,0.995,0.5069999999999999
0.9933333333333333,0.5109999999999999,0.9966666666666667,0.487,0.9900000000000001,0.505,0.9966666666666667,0.51,0.9933333333333333,0.4999999999999999,1.0,0.506,0.9966666666666667,0.5189999999999999,0.9983333333333334,0.518,0.995,0.48200000000000004,0.9950000000000001,0.508
0.9933333333333333,0.505,0.9966666666666667,0.49400000000000005,0.9900000000000001,0.507,0.9966666666666667,0.511,0.9916666666666667,0.506,1.0,0.5029999999999999,0.995,0.513,0.9983333333333334,0.519,0.9966666666666667,0.488,0.9950000000000001,0.51
0.9933333333333333,0.505,0.9966666666666667,0.49399999999999994,0.9900000000000001,0.505,0.9983333333333334,0.5109999999999999,0.9916666666666667,0.501,1.0,0.506,0.995,0.5079999999999999,1.0,0.522,0.9983333333333334,0.49000000000000005,0.9950000000000001,0.507
0.9933333333333333,0.507,0.9966666666666667,0.496,0.9900000000000001,0.5069999999999999,0.9983333333333334,0.51,0.9900000000000001,0.51,1.0,0.507,0.995,0.503,1.0,0.523,0.9983333333333334,0.48999999999999994,0.9950000000000001,0.509
0.9933333333333333,0.506,0.9966666666666667,0.488,0.9900000000000001,0.505,0.9983333333333334,0.505,0.9900000000000001,0.506,1.0,0.506,0.995,0.502,1.0,0.521,0.9983333333333334,0.48599999999999993,0.9950000000000001,0.5070000000000001
0.9933333333333333,0.508,0.9966666666666667,0.48900000000000005,0.9916666666666667,0.505,0.9983333333333334,0.507,0.9916666666666667,0.505,1.0,0.5050000000000001,0.995,0.501,1.0,0.516,1.0,0.48900000000000005,0.9950000000000001,0.5130000000000001
0.995,0.508,0.9966666666666667,0.49300000000000005,0.9933333333333333,0.508,0.9983333333333334,0.5049999999999999,0.9933333333333333,0.502,1.0,0.5050000000000001,0.9966666666666667,0.4969999999999999,1.0,0.514,1.0,0.495,0.9950000000000001,0.514
0.995,0.5039999999999999,0.9966666666666667,0.492,0.9933333333333333,0.5109999999999999,0.9983333333333334,0.5,0.9933333333333333,0.502,1.0,0.506,0.9966666666666667,0.502,1.0,0.511,1.0,0.49400000000000005,0.9950000000000001,0.518
0.995,0.504,0.9966666666666667,0.5,0.9933333333333333,0.509,0.9983333333333334,0.503,0.9933333333333333,0.5,1.0,0.502,0.9966666666666667,0.5029999999999999,1.0,0.509,1.0,0.49400000000000005,0.9950000000000001,0.524
0.9966666666666667,0.508,0.9983333333333334,0.505,0.9933333333333333,0.509,0.9983333333333334,0.5010000000000001,0.9933333333333333,0.501,1.0,0.507,0.9966666666666667,0.502,1.0,0.509,1.0,0.497,0.9950000000000001,0.518
0.9966666666666667,0.507,0.9983333333333334,0.501,0.995,0.505,0.9983333333333334,0.506,0.9933333333333333,0.503,1.0,0.505,0.9966666666666667,0.507,1.0,0.505,1.0,0.5,0.9950000000000001,0.518
0.9966666666666667,0.502,0.9983333333333334,0.503,0.9966666666666667,0.506,0.9983333333333334,0.514,0.9933333333333333,0.5039999999999999,1.0,0.504,0.9966666666666667,0.508,1.0,0.502,1.0,0.49800000000000005,0.9950000000000001,0.517
0.9966666666666667,0.5,0.9983333333333334,0.502,0.9966666666666667,0.503,0.9983333333333334,0.517,0.9966666666666667,0.508,1.0,0.503,0.9966666666666667,0.51,1.0,0.49800000000000005,1.0,0.49800000000000005,0.9950000000000001,0.51
0.9966666666666667,0.49899999999999994,0.9983333333333334,0.5,0.9966666666666667,0.503,0.9983333333333334,0.516,0.9966666666666667,0.5040000000000001,0.9966666666666667,0.502,0.9966666666666667,0.516,1.0,0.49700000000000005,1.0,0.497,0.9950000000000001,0.5040000000000001
0.9966666666666667,0.497,0.9983333333333334,0.502,0.9983333333333334,0.504,0.9983333333333334,0.514,0.9966666666666667,0.504,0.9966666666666667,0.502,0.9966666666666667,0.518,1.0,0.5,1.0,0.496,0.9933333333333333,0.5050000000000001
0.9950000000000001,0.501,0.9983333333333334,0.504,0.9983333333333334,0.505,0.9983333333333334,0.51,0.9966666666666667,0.5069999999999999,0.9966666666666667,0.5,0.9983333333333334,0.516,1.0,0.495,1.0,0.499,0.9933333333333333,0.506
0.9950000000000001,0.5029999999999999,0.9983333333333334,0.501,1.0,0.506,0.9983333333333334,0.5109999999999999,0.9966666666666667,0.51,0.9983333333333334,0.504,0.9983333333333334,0.506,1.0,0.497,1.0,0.495,0.9933333333333333,0.504
0.9966666666666667,0.503,0.9983333333333334,0.502,1.0,0.505,0.9983333333333334,0.51,0.9966666666666667,0.508,0.9983333333333334,0.506,0.9983333333333334,0.502,1.0,0.493,0.9983333333333334,0.492,0.9933333333333333,0.508
0.9983333333333334,0.502,0.9983333333333334,0.49399999999999994,0.9983333333333334,0.502,0.9983333333333334,0.51,0.9966666666666667,0.511,0.9983333333333334,0.5109999999999999,0.9983333333333334,0.49799999999999994,0.9966666666666667,0.49300000000000005,0.9983333333333334,0.497,0.9933333333333333,0.508
0.9983333333333334,0.499,0.9983333333333334,0.496,0.9983333333333334,0.49800000000000005,0.9983333333333334,0.51,0.9966666666666667,0.514,1.0,0.514,0.9983333333333334,0.5,0.9966666666666667,0.495,0.9983333333333334,0.495,0.995,0.506
0.9983333333333334,0.496,0.9983333333333334,0.49799999999999994,0.9983333333333334,0.49700000000000005,0.9966666666666667,0.505,0.9983333333333334,0.512,1.0,0.511,0.9983333333333334,0.499,0.9966666666666667,0.502,0.9983333333333334,0.5,0.995,0.504
0.9983333333333334,0.496,1.0,0.5,0.9983333333333334,0.49400000000000005,0.9966666666666667,0.502,0.9983333333333334,0.5149999999999999,1.0,0.5119999999999999,0.9983333333333334,0.49799999999999994,0.9966666666666667,0.499,0.9983333333333334,0.505,0.995,0.502
0.9983333333333334,0.496,1.0,0.499,0.9983333333333334,0.491,0.9966666666666667,0.504,0.9983333333333334,0.509,1.0,0.514,0.9983333333333334,0.49800000000000005,0.9966666666666667,0.49799999999999994,0.9983333333333334,0.508,0.9933333333333333,0.49800000000000005
0.9983333333333334,0.493,1.0,0.5,0.9983333333333334,0.48900000000000005,0.9966666666666667,0.505,0.9983333333333334,0.507,1.0,0.51,0.9983333333333334,0.499,0.9966666666666667,0.496,1.0,0.507,0.9933333333333333,0.493
0.9983333333333334,0.492,1.0,0.499,0.9983333333333334,0.491,0.9966666666666667,0.506,1.0,0.509,1.0,0.5109999999999999,0.9983333333333334,0.49499999999999994,0.9966666666666667,0.495,1.0,0.5109999999999999,0.9933333333333333,0.495
0.9983333333333334,0.493,1.0,0.49799999999999994,0.9983333333333334,0.4880000000000001,0.9983333333333334,0.5029999999999999,1.0,0.5,1.0,0.51,0.9983333333333334,0.495,0.9966666666666667,0.49700000000000005,1.0,0.5130000000000001,0.9933333333333333,0.502
0.9983333333333334,0.49499999999999994,1.0,0.4959999999999999,0.9983333333333334,0.481,0.9983333333333334,0.49700000000000005,1.0,0.499,1.0,0.5109999999999999,0.9983333333333334,0.495,0.9966666666666667,0.497,1.0,0.515,0.9933333333333333,0.5029999999999999
0.9983333333333334,0.492,1.0,0.4959999999999999,0.9983333333333334,0.48200000000000004,0.9983333333333334,0.5,1.0,0.501,1.0,0.508,0.9983333333333334,0.48999999999999994,0.9966666666666667,0.5,1.0,0.5149999999999999,0.9933333333333333,0.505
0.9983333333333334,0.493,1.0,0.49499999999999994,0.9983333333333334,0.47800000000000004,0.9983333333333334,0.499,1.0,0.49700000000000005,1.0,0.511,0.9966666666666667,0.489,0.9966666666666667,0.501,1.0,0.515,0.9933333333333333,0.508
0.9983333333333334,0.497,1.0,0.49000000000000005,0.9983333333333334,0.48599999999999993,0.9983333333333334,0.49799999999999994,1.0,0.496,1.0,0.509,0.9966666666666667,0.48999999999999994,0.9966666666666667,0.503,1.0,0.509,0.9933333333333333,0.506
